Project,Sample CiASOM/SLF ID,Sample MOSAiC ID/ Workplace Code,PS Operation Device/Lable on Bottle,Leg,Week,Location,Ice Type,Lat,Lon,Media Type,Date,Time,Week_MOSAiC,Air_Temp,In Core Temp (°C),Sample Depth (cm),Depth_From,Depth_To,Mean_Depth,Layer,Temperature_water,Salinity,d18O,dD,d_excess,Daily_Hl,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,M11458,,PS122-1_4-10,1,4,snow1-A1,,85.44,128.20,Snow,25/10/19,1:15,4,-20.8,,,0,,,Top,18.2,,-3.57,-30.0,-1.4,-1.298610657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,,122/1_4,1,4,Profile top,,85.45,127.89,Snow,25/10/19,,4,-20.8,,,,,,Top,,,-20.69,-148.6,16.9,-1.298610657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11459,,PS122-1_5-5,1,5,snow1-A1,,85.54,126.48,Snow,28/10/19,1:00,5,-14.4,,,26,,,Top,14.6,,-26.12,-186.0,23.0,1.882067019,"Slight snowfall, drifting snow, blowing snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510250,122_1_5,1,5,BGC Site,,85.59,126.14,Snow,28/10/19,,5,-14.4,,,,,,Top,18.2,,-21.99,-165.6,10.3,1.882067019,CAR0001 snowpid david,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510252,122_1_5,1,5,BGC Site,,85.59,126.14,Snow,28/10/19,,5,-14.4,,,,,,Top,18.2,,-21.80,-164.3,10.1,1.882067019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510228,PS122/1_5-93,1,5,SYI_mc,,85.59,126.14,Snow,28/10/19,,5,-14.4,,,,,,Top,18.4,0,-16.16,-117.2,12.0,1.882067019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510286,122/1_5_,1,5,BGC_1,,85.73,124.26,Snow,30/10/19,,5,-16.8,,0-4.5 cm,0,4.5,2.25,Top,18.3,,-14.50,-103.5,12.6,0.646458856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510315,PS122/1_5-95 snow_sampler_metal,1,5,BGC_2,,85.86,122.40,Snow,02/11/19,,5,-20.2,,0-6,0,6,3,Top,18.4,0,-24.14,-173.0,20.1,0.429472672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11462,,PS122-1_6-6,1,6,snow1-A5,,85.94,120.12,Snow,04/11/19,6:14,6,-16.7,,,8,5,6.5,Top,14.7,,-16.55,-114.8,17.6,0.158266715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510373,PS122-1_6-34 (was 122-1-6-7 before),1,6,FYI_mc,,85.95,119.75,Snow,04/11/19,,6,-16.7,,0-4.5,0,4.5,2.25,Top,18.9,1,-15.10,-106.2,14.6,0.158266715, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510375,122-1-6-10,1,6,FYI,,85.95,119.75,Snow,04/11/19,,6,-16.7,,0-4,0,4,2,Top,19.6,0,-14.77,-107.2,11.0,0.158266715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510401,PS122/1_6-140 snow_sampler_metal,1,6,BGC_3,,85.92,117.45,Snow,06/11/19,,6,-24.0,,12-18,12,18,15,Top,19.1,,-14.90,-106.5,12.6,0.426082498,fitting were open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510435,PS122-1_6-61,1,6,BGC_1,,85.92,116.64,Snow,07/11/19,,6,-23.4,,0-4,0,4,2,Top,18.7,13.4,-14.98,-113.5,6.4,-0.628134682,S = 38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510519,PS122/1_6-136 snow_sampler_metal,1,6,BGC_2,,85.83,116.15,Snow,10/11/19,,6,-26.6,,0-5,0,5,2.5,Top,19.4,0,-19.10,-135.5,17.3,-0.326854609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11465,,PS122-1_7-12,1,7,snow1-A3,,85.88,116.47,Snow,11/11/19,6:28,7,-22.6,,,,,,Top,15.6,,-26.34,-198.6,12.1,1.077849976,a3 pit snow1 fyi-lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510594,PS122/1_7-106 snow_sampler_metal,1,7,SYI_mc,,85.92,116.66,Snow,11/11/19,,7,-22.6,,0-4,0,4,2,Top,14.5,0,-20.73,-148.0,17.9,1.077849976,data with Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510593,PS122/1_7-105 snow_sampler_metal,1,7,FYI_mc,,85.92,116.66,Snow,11/11/19,,7,-22.6,,10-13cm,10,13,11.5,Top,14.2,0,-20.16,-148.7,12.6,1.077849976,data with Mike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510576,122/1_7,1,7,,,86.17,118.24,Snow,14/11/19,,7,-13.7,,0-6 cm,0,6,3,Top,13.4,,-11.45,-88.2,3.4,1.075268552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510646,PS122/1_7-89 snow_sampler_metal,1,7,BGC_2,,86.19,118.62,Snow,15/11/19,,7,-17.4,,18-27cm,18,27,22.5,Top,15.5,0,-19.41,-149.2,6.1,-0.227553791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510691,122/1_,1,8,BGC_1,,85.79,120.81,Snow,19/11/19,,8,-7.3,,0-4cm,0,4,2,Top,15.8,,-14.93,-110.5,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510683,PS122/1_8-24 snow_sampler_metal,1,8,BGC_1,,85.79,120.81,Snow,19/11/19,,8,-7.3,,0-4 cm,0,4,2,Top,15.4,14.9,-14.23,-104.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510684,PS122/1_8-24 snow_sampler_metal,1,8,BGC_1,,85.79,120.81,Snow,19/11/19,,8,-7.3,,4-8 cm,4,8,6,Top,14.6,7.1,-8.89,-69.2,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,511746,PS122-1_8-33,1,8,SYI,,85.76,121.43,Snow,20/11/19,,8,-15.6,,0-3.5,0,3.5,1.75,Top,17,0,-15.87,-114.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11470,,PS122-1_8-79,1,8,ds-coring-A7,,85.73,120.78,Snow,22/11/19,7:58,8,-16.5,,,0,,0,Top,17.5,,-6.53,-54.1,-1.8,,a pit dark coring: ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,511782,PS122-1_8-110,1,8,BGC_2,,85.75,120.59,Snow,23/11/19,,8,-20.9,,0-5cm,0,5,2.5,Top,17.5,0,-19.55,-144.0,12.5,,lower part very hard and icy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510750,PS122/1_9-31 snow_sampler_metal,1,9,SYI_mc,,86.05,120.50,Snow,25/11/19,,9,-22.4,,0-5,0,5,2.5,Top,14.9,0,-16.65,-118.1,15.2,-1.318701129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510749,122/1_9,1,9,FYI Site,,86.05,120.50,Snow,25/11/19,,9,-22.4,,0-5 cm,0,5,2.5,Top,14.5,,-13.60,-95.0,13.8,-1.318701129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510771,PS122/1_9-23 Snowpit B,1,9,SNOW 1,,86.13,119.12,Snow,26/11/19,,9,-27.7,,0-5,0,5,2.5,Top,15.5,0.1,-19.81,-144.5,14.0,-0.702193518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510776,122/1_9,1,9,,,86.13,119.12,Snow,26/11/19,,9,-27.7,,0-8,0,8,4,Top,16.8,0,-15.62,-112.1,12.9,-0.702193518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510783,PS122/1_9-39 snow_sampler_metal,1,9,BGC_1,,86.16,117.90,Snow,27/11/19,,9,-30.4,,0-5,0,5,2.5,Top,16.5,0.6,-15.03,-105.5,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510853,PS122/1_9-65 snow_sampler_metal,1,9,BGC_2,,86.15,116.52,Snow,28/11/19,,9,-25.8,,0-4,0,4,2,Top,16,0.5,-19.71,-142.5,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11471,,PS122-1_10-5,1,10,PS122/1_10-5 Snowpit A,,85.92,113.90,Snow,02/12/19,10:04,10,-27.2,,,7.5,5,6.25,Top,19.2,,-21.10,-152.9,15.9,0.989014539,A-Pit: Snow1 ROV road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,510867,PS122/1_10-35 snow_sampler_metal,1,10,SYI-mc,,85.93,114.06,Snow,02/12/19,,10,-27.2,,0-4,0,4,2,Top,16,0,-21.34,-152.7,18.1,0.989014539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,511005,122/1_10,1,10,BGC_1,,86.11,118.77,Snow,04/12/19,,10,-16.0,,0-4 cm,0,4,2,Top,17,,-15.31,-111.3,11.3,2.178809891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11474,,PS122-1_11-23,1,11,PS122/1_11-23 Snowpit B,,86.57,120.64,Snow,11/12/19,10:46,11,-26.0,,,28,25,26.5,Top,17.4,,-18.63,-128.5,20.5,-0.87751992,"B-Pit: Snow 1, Met City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,,511080,PS122/1_11-23 Snowpit B,1,11,BGC_1,,86.57,120.64,Snow,11/12/19,,11,-26.0,,0-4.5 cm,0,4.5,2.25,Top,17.2,,-13.34,-95.6,11.1,-0.87751992,"B-Pit: Snow 1, Met City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11477,,PS122-2_16-9,2,16,snow1-A1,,86.62,114.80,Snow,17/12/19,7:10,12,-18.7,,,,,,Top,17.8,,-19.07,-132.8,19.7,1.051099331,Snow 1 Exercise profile with sampling and SMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11480,,PS122-2_17-16,2,17,snow1-A9,,86.64,113.15,Snow,23/12/19,10:58,13,-25.6,,,8.5,,8.5,Top,17.7,,-24.17,-172.3,21.0,0.265442917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11485,,PS122-2_17-109,2,17,snow2-A8,,86.68,115.96,Snow,27/12/19,10:54,13,-28.5,,,23,20,21.5,Top,18.4,,-20.62,-148.7,16.3,-0.055774587,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11486,,PS122-2_18-17,2,18,snow1-A5,,86.61,116.56,Snow,30/12/19,6:40,14,-27.4,,,9.5,7,8.25,Top,17.7,,-21.15,-155.5,13.8,0.438976283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11489,,PS122-2_18-8,2,18,snow3-A6,,86.60,116.80,Snow,30/12/19,11:00,14,-27.4,,,7.5,4,5.75,Top,18.1,,-18.30,-135.1,11.3,0.438976283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11491,,PS122-2_18-66,2,18,snow1-A5,,86.90,115.74,Snow,03/01/20,6:29,14,-27.7,,,9,6,7.5,Top,19.1,,-17.45,-121.3,18.3,-0.725732077,after days with strong wind and snow drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0001,200089-Y01 bis 200089-Y05,PS122/2_18-66,2,18,snow1-A5,,86.90,115.74,Snow,03/01/20,,14,,,,8,5,6.5,,,,-22.10,-161.5,15.3,-0.725732077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11496,,PS122-2_19-9,2,19,snow1-A1,,87.10,115.26,Snow,06/01/20,6:25,15,-27.7,,,25,19,22,Top,19.5,,-19.28,-133.7,20.6,-0.155407977,done with ice saw to hard to do it differently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11497,,PS122-2_19-28,2,19,ds-coring-FYI,,87.10,115.19,Snow,06/01/20,11:05,15,-27.7,,,9,6,7.5,Top,19.8,,-19.89,-133.3,25.9,-0.155407977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0004,200089-Y01 bis 200089-Y05,PS122/2_19-28,2,19,ds-coring-FYI,,87.10,115.19,Snow,06/01/20,,15,,,,9.5,6.5,8,,,,-23.60,-166.4,22.4,-0.155407977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0007,200089-Y01 bis 200089-Y05,PS122/2_19-9,2,19,snow1-A1,,87.10,115.26,Snow,06/01/20,,15,,,,26.5,23.5,25,,,,-22.00,-158.6,17.4,-0.155407977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0017,200089-Y01 bis 200089-Y05,PS122/2_19-41,2,19,L3,,87.11,115.18,Snow,08/01/20,,15,,,,12,11,11.5,,,,-38.50,-294.9,13.1,-0.17551493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11500,,PS122-2_19-92,2,19,snow2-A2,,87.17,113.09,Snow,10/01/20,6:40,15,-29.7,,,14,10,12,Top,18.9,,-21.15,-148.7,20.5,-0.352856568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11504,,PS122-2_19-144,2,19,FR,,87.18,112.79,Snow,10/01/20,11:00,15,-29.7,,,37,24,30.5,Top,13.6,,-32.15,-237.5,19.7,-0.352856568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0020,200089-Y01 bis 200089-Y05,PS122/2_19-144,2,19,FR,,87.18,112.79,Snow,10/01/20,,15,,,,37,34,35.5,,,,-37.60,-281.4,19.4,-0.352856568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11503,,PS122-2_20-4,2,20,snow3-A6,,87.33,107.16,Snow,13/01/20,10:48,16,-27.6,,,10,5,7.5,Top,20.7,,-26.67,-200.1,13.3,-0.652837984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0039,200089-Y01 bis 200089-Y05,PS122/2_20-4,2,20,snow3-A6,,87.33,107.16,Snow,13/01/20,,16,,,,10,7,8.5,,,,-33.70,-251.6,18.0,-0.652837984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11508,,PS122-2_20-36,2,20,FR,,87.46,103.72,Snow,15/01/20,6:30,16,-25.5,,,54,50,52,Top,14.4,,-35.93,-281.5,5.9,-1.310507373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11513,,PS122-2_20-80,2,20,snow1-A5,,87.51,99.31,Snow,17/01/20,10:40,16,-23.8,,,11,6,8.5,Top,14.0,,-23.83,-169.9,20.7,0.151476518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0030,200089-Y01 bis 200089-Y05,PS122/2_20-80,2,20,snow1-A5,,87.51,99.31,Snow,17/01/20,,16,,,,10.5,7.5,9,,,,-21.50,-154.2,17.8,0.151476518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0033,200089-Y01 bis 200089-Y05,PS122/2_20-83,2,20,snow2-A8,,87.51,99.41,Snow,17/01/20,,16,,,,19.5,16.5,18,,,,-26.00,-174.8,33.2,0.151476518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11516,,PS122-2_21-14,2,21,snow1-A1,,87.44,97.62,Snow,20/01/20,6:33,17,-30.3,,,25,22,23.5,Top,16.6,,-21.69,-150.6,22.9,-0.738205996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11518,,PS122-2_21-15,2,21,snow2-A2,,87.45,97.42,Snow,20/01/20,11:05,17,-30.3,,,13.5,10,11.75,Top,12.9,,-25.10,-184.2,16.6,-0.738205996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0042,200089-Y01 bis 200089-Y05,PS122/2_21-14,2,21,snow1-A1,,87.44,97.62,Snow,20/01/20,,17,,,,26,23,24.5,,,,-28.30,-205.8,20.6,-0.738205996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0047,200089-Y01 bis 200089-Y05,PS122/2_21-15,2,21,snow2-A2,,87.45,97.42,Snow,20/01/20,,17,,,,13.5,10.5,12,,,,-27.50,-200.7,19.3,-0.738205996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0051,200089-Y01 bis 200089-Y05,PS122/2_21-53,2,21,snow3-A6,,87.48,95.11,Snow,22/01/20,,17,,,,8,5,6.5,,,,-28.90,-211.5,19.7,-0.599369347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0053,200089-Y01 bis 200089-Y05,PS122/2_21-52,2,21,snow1-A5,,87.48,95.07,Snow,22/01/20,,17,,,,9,7,8,,,,-27.70,-186.1,35.5,-0.599369347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11521,,PS122-2_21-96,2,21,FR,,87.42,93.12,Snow,24/01/20,10:30,17,-30.4,,,33,30,31.5,Top,15.7,,-39.63,-304.9,12.2,-0.103158964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLF,dO18_0055,200089-Y01 bis 200089-Y05,PS122/2_21-96,2,21,FR,,87.42,93.12,Snow,24/01/20,,17,,,,26,23,24.5,,,,-36.70,-276.0,17.6,-0.103158964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11524,,PS122-2_22-5,2,22,snow2-A8,,87.44,95.57,Snow,27/01/20,6:23,18,-24.0,,,17,14,15.5,Top,14.8,,-22.12,-153.4,23.6,0.628570643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CiASOM,M11527,,PS122-2_22-6,2,22,snow3-A6,,87.45,95.77,Snow,27/01/20,10:40,18,-24.0,,,8,5.5,6.75,Top,14.8,,-24.62,-187.8,9.2,0.628570643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
